String Length,Count
1,2185
2,642
3,406
4,655
5,483
6,381
7,256
8,334
9,328
10,255
11,260
12,254
13,223
14,185
15,144
16,190
17,107
18,105
19,104
20,82
21,82
22,52
23,62
24,64
25,49
26,43
27,33
28,37
29,35
30,35
31,39
32,41
33,28
34,40
35,36
36,24
37,27
38,31
39,16
40,35
41,17
42,23
43,21
44,17
45,15
46,19
47,12
48,10
49,17
50,13
51,6
52,6
53,3
54,4
55,6
56,1
57,3
59,2
60,3
61,3
62,6
63,5
64,6
65,2
66,2
67,2
68,3
69,5
70,4
71,1
72,1
73,1
74,2
75,1
76,2
77,3
78,2
80,6
81,1
83,2
84,3
88,1
90,1
93,1
96,1
97,1
100,1
101,1
103,1
105,1
106,1
107,2
113,2
115,1
118,2
122,1
124,1
132,1
136,1
139,1
141,1
146,1
149,1
151,1
156,1
158,1
162,1
165,1
167,1
214,1
